T = "Flux Deviation Bi" VARIABLES = "Bi", "Bi = Bi x*->inf", "Bi = Bi x* < 1", "% Deviation"
Zone T = "Data"
0.001 0.948513478948 0.949728616416 -0.128109667915
0.002 0.946976586324 0.949406657414 -0.256613640153
0.005 0.942594294066 0.948539636642 -0.630742474603
0.01 0.935715048474 0.947121356143 -1.21899371905
0.02 0.923241285289 0.944309543925 -2.28198835684
0.05 0.892930686491 0.935777845078 -4.79848651578
0.1 0.856035425142 0.921023366821 -7.59173508143
0.2 0.80552234824 0.890215385805 -10.5140518759
0.5 0.716933227517 0.801197468324 -11.7534294092
1.0 0.633772146688 0.693036613303 -9.35106834906
2.0 0.538601991659 0.569666158728 -5.76755517993
5.0 0.402679900153 0.412127212088 -2.34610963475
10.0 0.306563966043 0.309994149424 -1.11891277531
20.0 0.226973940126 0.228162378028 -0.523601036046
50.0 0.148674541082 0.148950705121 -0.185750725773
100.0 0.106663384759 0.106749656685 -0.0808824186343
200.0 0.0760508837372 0.076075964944 -0.0329795074475
500.0 0.0483417079006 0.0483459234306 -0.00872027524461
1000.0 0.0341913123111 0.0341922614087 -0.00277584446906
